,title,creation_date,creation_date_earliest,creation_date_latest,medium,accession_number,id,credit_line,date_acquired,department,physical_location,item_width,item_height,item_depth,item_diameter,web_url,provenance_text,classification,image_url,artist_id,party_type,full_name,cited_name,role,nationality,birth_date,death_date,birth_place,death_place,small_img_url
2247,"Design for Kraus Campo, Carnegie Mellon University: Study for Campo--Double-Axis Slope (plan and section)",2004,2004-01-01,2004-01-01,pencil on paper,2013.33.62,cmoa:things/315749f5-a40c-40c9-8f5a-7b08f6aaae2f,Gift of Mel Bochner,2013-09-12,Heinz Architectural Center,Not on View,11.0,8.5,0.0,0.0,https://collection.carnegieart.org/objects/315749f5-a40c-40c9-8f5a-7b08f6aaae2f,,drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/133247/105852.jpg,cmoa:parties/3e68bc81-0aaf-4422-bf8f-18a3ae0a82b5,Person,Mel Bochner,"Bochner, Mel",,American,1940-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/133247/sizes/105852-420.jpg
2248,"Design for Kraus Campo, Carnegie Mellon University: Installation design for Miller Gallery exhibition",2004,2004-01-01,2004-01-01,ink on paper,2013.33.63,cmoa:things/b471ef7a-2364-4e51-b65e-ff8dd816e26a,Gift of Mel Bochner,2013-09-12,Heinz Architectural Center,Not on View,10.938,8.438,0.0,0.0,https://collection.carnegieart.org/objects/b471ef7a-2364-4e51-b65e-ff8dd816e26a,,drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/133248/105853.jpg,cmoa:parties/3e68bc81-0aaf-4422-bf8f-18a3ae0a82b5,Person,Mel Bochner,"Bochner, Mel",,American,1940-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/133248/sizes/105853-420.jpg
2282,The Colors of My Garden's Seasons,2006-2007,2006-01-01,2007-01-01,chromogenic print with hand applied text,2008.30.7.A-.D,cmoa:things/82d93ba9-12d2-49c3-abc1-1874a0fb08d1,The Henry L. Hillman Fund,2008-06-05,Photography,Not on View,0.0,0.0,0.0,0.0,https://collection.carnegieart.org/objects/82d93ba9-12d2-49c3-abc1-1874a0fb08d1,,photographs,https://cmoa-collection-images.s3.amazonaws.com/thing/70368/63798.jpg,cmoa:parties/8d714027-daa1-4681-ba3f-d844eb184331,Person,Duane Michals,"Michals, Duane",,American,1932-01-01,,"Pittsburgh, Pennsylvania",,https://cmoa-collection-images.s3.amazonaws.com/thing/70368/sizes/63798-420.jpg
2552,Umbrella Stand,April 1860 or 1886,1860-01-01,1886-01-01,"earthenware, molded in relief with majolica glaze",2016.18.7,cmoa:things/2ec6828e-875d-4aa9-ad70-63a1c4a4c75f,Gift of Dr. Michael L. Nieland,2016-05-12,Decorative Arts and Design,Not on View,10.125,21.25,9.125,0.0,https://collection.carnegieart.org/objects/2ec6828e-875d-4aa9-ad70-63a1c4a4c75f,,ceramics,https://cmoa-collection-images.s3.amazonaws.com/thing/155029/114447-1.jpg,cmoa:parties/1a80f181-f41e-40ef-81a6-e11f040d9329,Organization,Wedgwood,Wedgwood,manufacturer,English,1759-01-01,,,,https://cmoa-collection-images.s3.amazonaws.com/thing/155029/sizes/114447-1-420.jpg
2641,The Temptation of St. Anthony,1635,1635-01-01,1635-01-01,etching,2016.53,cmoa:things/49d9b1e4-dcf3-42c4-af30-d9dc556bd7a0,Lehman Fine Arts Acquisitions Fund and the Mary Louise and Henry J. Gailliot Fund for Acquisitions in honor of Henry J. Gailliot,2016-12-08,Fine Arts,Not on View,17.875,13.875,0.0,0.0,https://collection.carnegieart.org/objects/49d9b1e4-dcf3-42c4-af30-d9dc556bd7a0,,prints,https://cmoa-collection-images.s3.amazonaws.com/thing/159410/121209.jpg,cmoa:parties/b5d1f6cf-c279-4236-872c-4491137f586e,Person,Jacques Callot,"Callot, Jacques",,French,1592-01-01,1635-01-01,"Nancy (Meurthe-et-Moselle, Lorraine, France)","Nancy (Meurthe-et-Moselle, Lorraine, France)",https://cmoa-collection-images.s3.amazonaws.com/thing/159410/sizes/121209-420.jpg
2642,Fifth Avenue in Winter,c. 1892,1887-01-01,1897-01-01,oil on canvas,00.2,cmoa:things/0ad448ac-b58f-4440-a1f4-8eae9a58a8d2,Purchase,1900-01-01,Fine Arts,"Gallery 8, Scaife Galleries",28.0,22.0,3.0,0.0,https://collection.carnegieart.org/objects/0ad448ac-b58f-4440-a1f4-8eae9a58a8d2,"Childe Hassam [1859-1935], New York, NY, until 1900; purchased by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, January 1900 [1]. 
NOTES:1. Updated by CGK July 2012.",paintings,https://cmoa-collection-images.s3.amazonaws.com/thing/216900/1000003.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/216900/sizes/1000003-420.jpg
2648,Landscape and Cows-The Road to Blaricum,c.1880-1885,1858-01-01,1890-01-01,oil on canvas,03.2,cmoa:things/52e90e65-962f-4dd4-b274-976672eb977b,Purchase,1903-02-11,Fine Arts,Not on View,45.063,53.0,3.0,0.0,https://collection.carnegieart.org/objects/52e90e65-962f-4dd4-b274-976672eb977b,"E. Glaenzer and Co., New York, by 1903. Purchased by Museum, 1903.",paintings,https://cmoa-collection-images.s3.amazonaws.com/thing/230806/1000102.jpg,cmoa:parties/e5729e58-ee59-4abf-8655-c1eac5d4d388,Person,Anton Mauve,"Mauve, Anton",,Dutch,1838-01-01,1888-01-01,"Zaandam, North Holland, Netherlands","Arnhem, Netherlands",https://cmoa-collection-images.s3.amazonaws.com/thing/230806/sizes/1000102-420.jpg
2656,Ploughing,c. 1870-1880,1865-01-01,1885-01-01,charcoal with white heightening,04.5.5,cmoa:things/f4662140-cc2d-4ccc-b0ab-4de9aaa3c233,Carnegie Special Fund,1904-12-10,Fine Arts,Not on View,19.25,14.25,0.0,0.0,https://collection.carnegieart.org/objects/f4662140-cc2d-4ccc-b0ab-4de9aaa3c233,William MacBeth,drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/94847/1000118.jpg,cmoa:parties/e5729e58-ee59-4abf-8655-c1eac5d4d388,Person,Anton Mauve,"Mauve, Anton",,Dutch,1838-01-01,1888-01-01,"Zaandam, North Holland, Netherlands","Arnhem, Netherlands",https://cmoa-collection-images.s3.amazonaws.com/thing/94847/sizes/1000118-420.jpg
2657,Wood Choppers,,1858-01-01,1888-01-01,charcoal on paper,04.5.6,cmoa:things/c8c587ac-9f91-4a93-a354-242e439040a6,Carnegie Special Fund,1904-12-10,Fine Arts,Not on View,16.0,22.0,0.0,0.0,https://collection.carnegieart.org/objects/c8c587ac-9f91-4a93-a354-242e439040a6,William MacBeth,drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/94860/1000119.jpg,cmoa:parties/e5729e58-ee59-4abf-8655-c1eac5d4d388,Person,Anton Mauve,"Mauve, Anton",,Dutch,1838-01-01,1888-01-01,"Zaandam, North Holland, Netherlands","Arnhem, Netherlands",https://cmoa-collection-images.s3.amazonaws.com/thing/94860/sizes/1000119-420.jpg
2671,Mrs. Leyland Seated,c. 1871,1866-01-01,1876-01-01,pastel and chalk on brown paper,06.12.6,cmoa:things/967364cb-c1d7-4056-b965-627ac42554f9,Andrew Carnegie Fund,1906-10-17,Fine Arts,Not on View,14.25,19.25,0.0,0.0,https://collection.carnegieart.org/objects/967364cb-c1d7-4056-b965-627ac42554f9,"Frederick Keppel and Company, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/84834/1000149.jpg,cmoa:parties/ee6b5090-5d75-4d88-b9e1-2effda93f38b,Person,James Abbott McNeill Whistler,"Whistler, James McNeill",,American,1834-07-11,1903-07-17,"Lowell, Massachusetts","London, England",https://cmoa-collection-images.s3.amazonaws.com/thing/84834/sizes/1000149-420.jpg
2675,A Lady Standing,1881,1881-01-01,1881-01-01,pastel on brown paper,06.14,cmoa:things/c8ed7a98-70ce-41f9-90e9-6d195cd23c2a,Andrew Carnegie Fund,1906-10-17,Fine Arts,Not on View,14.25,19.25,0.0,0.0,https://collection.carnegieart.org/objects/c8ed7a98-70ce-41f9-90e9-6d195cd23c2a,"M. L. Knoedler  & Co., New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/84934/1000157.jpg,cmoa:parties/ee6b5090-5d75-4d88-b9e1-2effda93f38b,Person,James Abbott McNeill Whistler,"Whistler, James McNeill",,American,1834-07-11,1903-07-17,"Lowell, Massachusetts","London, England",https://cmoa-collection-images.s3.amazonaws.com/thing/84934/sizes/1000157-420.jpg
2756,"Cos Cob, the Bridge and Docks",1902,1902-01-01,1902-01-01,charcoal and watercolor on paper mounted on cardboard,07.14.10,cmoa:things/f71a7476-3500-4aa6-8954-53db5be82f7e,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,16.0,22.0,0.0,0.0,https://collection.carnegieart.org/objects/f71a7476-3500-4aa6-8954-53db5be82f7e,Childe Hassam,drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47391/1000271.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47391/sizes/1000271-420.jpg
2757,East Gloucester,no date,1879-01-01,1907-01-01,pastel on green laid paper,07.14.11,cmoa:things/887db1a0-c19c-4d9f-a508-15e1c02797a7,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,22.0,16.0,0.0,0.0,https://collection.carnegieart.org/objects/887db1a0-c19c-4d9f-a508-15e1c02797a7,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47392/1000272.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47392/sizes/1000272-420.jpg
2758,"Gloucester, Outer Harbor",1899,1899-01-01,1899-01-01,pen and ink on laid paper,07.14.12,cmoa:things/ab84351f-c2ba-4171-92b3-92fba58d4b80,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,16.0,22.0,0.0,0.0,https://collection.carnegieart.org/objects/ab84351f-c2ba-4171-92b3-92fba58d4b80,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47393/1000273.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47393/sizes/1000273-420.jpg
2759,"Gloucester, Inner Harbor",c. 1899,1894-01-01,1904-01-01,graphite and pastel on laid paper,07.14.13,cmoa:things/379adf75-498d-4e19-abb1-232f8187df24,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,16.0,22.0,0.0,0.0,https://collection.carnegieart.org/objects/379adf75-498d-4e19-abb1-232f8187df24,Childe Hassam,drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47394/1000274.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47394/sizes/1000274-420.jpg
2760,"East Gloucester Street, Summer Morning",no date,1879-01-01,1907-01-01,"crayon, watercolor and gouache on laid paper",07.14.14,cmoa:things/87d2bae5-2c75-4d4f-9055-51ca6ae0d1d6,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,22.0,16.0,0.0,0.0,https://collection.carnegieart.org/objects/87d2bae5-2c75-4d4f-9055-51ca6ae0d1d6,"Childe Hassam [1859-1935], New York, NY, until 1907; purchased  from the artist by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, March 1907.",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47395/1000275.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47395/sizes/1000275-420.jpg
2761,The Boat Landing,c. 1906,1901-01-01,1911-01-01,"graphite, pastel and gouache on brown paper",07.14.15,cmoa:things/28855086-5b36-4746-89d0-23265e51919c,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,14.25,19.25,0.0,0.0,https://collection.carnegieart.org/objects/28855086-5b36-4746-89d0-23265e51919c,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/20621/1000277.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/20621/sizes/1000277-420.jpg
2762,"The Cliffs at ""The Breakers,"" Newport",1901,1901-01-01,1901-01-01,"pastel on black paper
verso: printed pamphlet  ""Banking & Trust Accounts""",07.14.16,cmoa:things/107493e9-ea35-4d7a-8817-12fe69cd7ab9,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,16.0,22.0,0.0,0.0,https://collection.carnegieart.org/objects/107493e9-ea35-4d7a-8817-12fe69cd7ab9,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47396/1000278.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47396/sizes/1000278-420.jpg
2763,"Wharves, Newport",1901,1901-01-01,1901-01-01,colored pencil on paper,07.14.17,cmoa:things/ba3dc913-cfca-4601-b091-5ae3b30e32a0,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,16.0,22.0,0.0,0.0,https://collection.carnegieart.org/objects/ba3dc913-cfca-4601-b091-5ae3b30e32a0,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47397/1000279.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47397/sizes/1000279-420.jpg
2764,"White Church, Newport",1901,1901-01-01,1901-01-01,pastel on onion-skin paper,07.14.18,cmoa:things/04eacb40-a5ea-4f78-a375-c55cb3b64e4e,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,14.25,19.25,0.0,0.0,https://collection.carnegieart.org/objects/04eacb40-a5ea-4f78-a375-c55cb3b64e4e,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/16448/1000281.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/16448/sizes/1000281-420.jpg
2765,"Duke Street, Newport",1901,1901-01-01,1901-01-01,"pen and ink and crayon on light blue paper
verso: printed advertisement for ""D. Milch, Manufacturer of High Grade Picture Frames, New York"", dated 19 November 1900",07.14.19,cmoa:things/fe3138cf-e399-425a-b3ce-b24fac2710e8,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,16.0,22.0,0.0,0.0,https://collection.carnegieart.org/objects/fe3138cf-e399-425a-b3ce-b24fac2710e8,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47398/1000282.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47398/sizes/1000282-420.jpg
2766,Connecticut Trout Stream,c. 1903,1898-01-01,1908-01-01,"pastel and gouache on black paper
verso: printed pamphlet for the Boston Art Club, Sixty-Seventh Exhibition, 1903",07.14.1,cmoa:things/5fb4da62-4368-4685-beab-8d392f4edc27,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,16.0,22.0,0.0,0.0,https://collection.carnegieart.org/objects/5fb4da62-4368-4685-beab-8d392f4edc27,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47390/1000283.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47390/sizes/1000283-420.jpg
2767,"Arrangement, Newport",1901,1901-01-01,1901-01-01,"pastel on brown paper
verso: pamphlet cover for The Booklovers Library, Philadelphia",07.14.20,cmoa:things/bee3397c-f861-45b3-a99c-d5a85565ee3a,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,19.25,14.25,0.0,0.0,https://collection.carnegieart.org/objects/bee3397c-f861-45b3-a99c-d5a85565ee3a,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47400/1000284.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47400/sizes/1000284-420.jpg
2768,"Street and White Church, Newport",no date,1879-01-01,1907-01-01,graphite and crayon on green paper,07.14.21,cmoa:things/0f2676b4-285e-46f7-aa02-05a25fd95774,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,14.25,19.25,0.0,0.0,https://collection.carnegieart.org/objects/0f2676b4-285e-46f7-aa02-05a25fd95774,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47401/1000285.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47401/sizes/1000285-420.jpg
2769,Little Bridge,before 1907,1879-01-01,1907-01-01,"crayon on lime green paper
verso: printed brochure ""Opera Glasses and Kindred Articles""",07.14.22,cmoa:things/eba5eb37-3978-412b-afc9-26670b55aa60,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,22.0,16.0,0.0,0.0,https://collection.carnegieart.org/objects/eba5eb37-3978-412b-afc9-26670b55aa60,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47403/1000286.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47403/sizes/1000286-420.jpg
2770,"Autumn Landscape, Arrangement",c. 1902,1897-01-01,1907-01-01,"pastel on blue paper
verso: printed program cover for Carnegie Institute Founder's Day 1902",07.14.23,cmoa:things/0058d523-4b3a-4890-b81d-6d92e5657073,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,22.0,16.0,0.0,0.0,https://collection.carnegieart.org/objects/0058d523-4b3a-4890-b81d-6d92e5657073,Childe Hassam,drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47404/1000287.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47404/sizes/1000287-420.jpg
2771,"Hogarth House, Cheswick",1889,1889-01-01,1889-01-01,watercolor on paper,07.14.24,cmoa:things/6c6ea728-b12d-4734-9ca6-0a4d9f9316a5,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,19.25,14.25,0.0,0.0,https://collection.carnegieart.org/objects/6c6ea728-b12d-4734-9ca6-0a4d9f9316a5,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47405/1000288.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47405/sizes/1000288-420.jpg
2772,"Hyde Park Corner, Night Study",c. 1898,1893-01-01,1903-01-01,pastel on brown paper,07.14.25,cmoa:things/e5b2b027-e7a4-417f-95f3-95d067e689ff,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,14.25,19.25,0.0,0.0,https://collection.carnegieart.org/objects/e5b2b027-e7a4-417f-95f3-95d067e689ff,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47406/1000289.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47406/sizes/1000289-420.jpg
2773,"Rocky Headland, Isles of Shoals",1903,1903-01-01,1903-01-01,crayon and gouache on brown cardboard,07.14.26,cmoa:things/b16f5498-0bfa-4b71-8829-c0e65ea8c797,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,22.0,16.0,0.0,0.0,https://collection.carnegieart.org/objects/b16f5498-0bfa-4b71-8829-c0e65ea8c797,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47407/1000290.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47407/sizes/1000290-420.jpg
2774,"Terrace, Florence",1897,1897-01-01,1897-01-01,"graphite, pen and ink, and gouache on paper",07.14.27,cmoa:things/d868b775-d2ae-4385-aa9e-7f8f46f7c714,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,19.25,14.25,0.0,0.0,https://collection.carnegieart.org/objects/d868b775-d2ae-4385-aa9e-7f8f46f7c714,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47408/1000291.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47408/sizes/1000291-420.jpg
2775,"Gateway, Alhambra",c. 1896,1891-01-01,1901-01-01,"pastel on paper
verso: fragment of Carnegie Institute's printed guide for visitors, ""Rules of Conduct""",07.14.28,cmoa:things/8d2d34d4-1161-420d-992c-1b2458ae1142,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,16.0,22.0,0.0,0.0,https://collection.carnegieart.org/objects/8d2d34d4-1161-420d-992c-1b2458ae1142,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47409/1000292.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47409/sizes/1000292-420.jpg
2776,"14th July, Paris, Old Quarter",1889,1889-01-01,1889-01-01,graphite and gouache on light blue-green paper,07.14.29,cmoa:things/f8725c5d-c9e4-4009-800b-623c020ac160,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,14.25,19.25,0.0,0.0,https://collection.carnegieart.org/objects/f8725c5d-c9e4-4009-800b-623c020ac160,"Childe Hassam [1859-1935], New York, NY, until 1907; purchased  from the artist by Department of Fine Arts, Carnegie Institute, Pittsburgh, PA, March 1907.",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/16481/1000294.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/16481/sizes/1000294-420.jpg
2777,Brooklyn Bridge,c. 1904,1899-01-01,1907-01-01,pastel on grey-blue paper,07.14.2,cmoa:things/d236219d-f9b4-44a2-973c-967c0fc85201,Andrew Carnegie Fund,1907-03-19,Fine Arts,Not on View,14.25,19.25,0.0,0.0,https://collection.carnegieart.org/objects/d236219d-f9b4-44a2-973c-967c0fc85201,"Childe Hassam, New York; Andrew Carnegie Fund",drawings and watercolors,https://cmoa-collection-images.s3.amazonaws.com/thing/47399/1000295.jpg,cmoa:parties/f0b8eec0-35c0-4301-a789-0e8f6c0c1bf3,Person,Childe Hassam,"Hassam, Childe",,American,1859-10-17,1935-08-27,"Dorchester (Suffolk county, Massachusetts, United States)","East Hampton (Suffolk county, New York state, United States)",https://cmoa-collection-images.s3.amazonaws.com/thing/47399/sizes/1000295-420.jpg
